# Model hyperparameter values by iteration
# iter              npts                   kernel.variance   kernel.lengthscale  kernel_1.lengthscale  kernel_2.lengthscale  kernel_3.lengthscale  kernel_4.lengthscale  kernel_5.lengthscale  kernel_6.lengthscale  kernel_7.lengthscale
  0.0000000000E+00  1.0000000000E+01       1.1478516753E+04  7.6467117534E-01  3.1199147551E+00  3.9546017090E+00  3.1755979428E+01  3.1758482981E+01  3.1757919035E+01  3.1760553154E+01  3.1758175367E+01
  1.0000000000E+00  1.1000000000E+01       1.1478354911E+04  7.6887343301E-01  3.1188280752E+00  4.0265517424E+00  3.1964710985E+01  3.3410704626E+01  3.7364976072E+01  3.7202893886E+01  3.3443860497E+01
  2.0000000000E+00  1.2000000000E+01       1.0113615072E+04  7.9372637633E-01  3.1215661285E+00  4.1561403181E+00  3.2052365142E+01  4.1352880840E+01  3.9769545164E+01  3.8987866255E+01  3.7354030914E+01
  3.0000000000E+00  1.3000000000E+01       9.5869080280E+03  8.0306172579E-01  3.1978328820E+00  4.2944127452E+00  3.3295706854E+01  4.1549280881E+01  4.0565094928E+01  3.9847218238E+01  3.8816837212E+01
  4.0000000000E+00  1.4000000000E+01       9.0715576748E+03  8.2399276180E-01  3.2803980742E+00  4.4347199850E+00  3.4852763298E+01  4.8729507773E+01  4.3866967042E+01  4.1734115537E+01  4.1299923891E+01
  5.0000000000E+00  1.5000000000E+01       8.5922621653E+03  8.3675698070E-01  3.4117033936E+00  4.5218026926E+00  3.7874794847E+01  5.0443395011E+01  4.7883951777E+01  4.6239481818E+01  4.2485915098E+01
  6.0000000000E+00  1.6000000000E+01       8.1146805083E+03  8.6056280007E-01  3.5724605806E+00  4.6316142164E+00  4.0289883988E+01  5.3645624724E+01  5.0071833613E+01  5.0085542976E+01  4.4226852695E+01
  7.0000000000E+00  1.7000000000E+01       7.7307501295E+03  8.8189204068E-01  3.7145161909E+00  5.3850830739E+00  4.2308953897E+01  5.5851006080E+01  5.2863287674E+01  5.2306169107E+01  4.6192886307E+01
  8.0000000000E+00  1.8000000000E+01       7.3183789754E+03  8.9847059516E-01  3.8432552333E+00  5.5806462876E+00  4.3526539852E+01  5.8006447496E+01  5.4746789473E+01  5.3885735709E+01  4.7592483847E+01
  9.0000000000E+00  1.9000000000E+01       6.9855991215E+03  9.3548565332E-01  4.2239386280E+00  5.9564957675E+00  4.8595072601E+01  6.2290497220E+01  5.9169956446E+01  5.8911271327E+01  5.2034851985E+01
  1.0000000000E+01  2.0000000000E+01       6.6968995246E+03  9.9214160247E-01  4.7497673619E+00  6.5998275416E+00  5.3671412652E+01  6.9765300236E+01  6.3937493740E+01  6.4523263573E+01  5.6651938691E+01
  1.1000000000E+01  2.1000000000E+01       6.4028082401E+03  1.0654441133E+00  5.0357827376E+00  7.0258946970E+00  5.8288657349E+01  7.4116010621E+01  6.8447463906E+01  6.8334286797E+01  6.0298444987E+01
  1.2000000000E+01  2.2000000000E+01       6.1791897811E+03  1.1265873019E+00  5.6141370724E+00  7.6157433879E+00  6.2706517114E+01  8.0047670987E+01  7.2658075846E+01  7.2183889992E+01  6.7430482176E+01
  1.3000000000E+01  2.3000000000E+01       5.9433104236E+03  1.1748297620E+00  5.9637555816E+00  8.1216443698E+00  6.7075636720E+01  8.4871795049E+01  7.8475383717E+01  7.7278083874E+01  7.1876533942E+01
  1.4000000000E+01  2.4000000000E+01       5.9419674784E+03  1.2157749924E+00  6.2711657378E+00  8.5068545107E+00  7.0409856412E+01  9.4632817821E+01  8.2676049605E+01  8.1588735380E+01  7.5454725305E+01
  1.5000000000E+01  2.5000000000E+01       5.9390994647E+03  1.2513675068E+00  6.5023695851E+00  8.9552168172E+00  7.4302414899E+01  9.9765591548E+01  8.6120636090E+01  8.6108209572E+01  7.8902751461E+01
  1.6000000000E+01  2.6000000000E+01       5.3614505220E+03  1.2761275790E+00  6.7563743682E+00  9.1178896497E+00  7.6349771777E+01  1.0321259349E+02  8.9099481625E+01  8.7938671374E+01  8.1424701576E+01
  1.7000000000E+01  2.7000000000E+01       5.3596958735E+03  1.3156648900E+00  7.0648235213E+00  9.4162147009E+00  7.9906481541E+01  1.0792253800E+02  9.5097619413E+01  9.1278161757E+01  8.5467894626E+01
  1.8000000000E+01  2.8000000000E+01       5.0390269132E+03  1.3306522961E+00  7.1916795303E+00  9.7331644011E+00  8.2776412800E+01  1.1172267442E+02  9.6816603767E+01  9.3309246707E+01  8.7039421034E+01
  1.9000000000E+01  2.9000000000E+01       4.9125316846E+03  1.3019839350E+00  6.9706772549E+00  9.3331790275E+00  7.7056727985E+01  1.0805632988E+02  9.3945585418E+01  9.0892534511E+01  8.4276206384E+01
  2.0000000000E+01  3.0000000000E+01       4.7860169431E+03  1.3326402324E+00  7.2481525024E+00  9.4961600391E+00  7.8817891565E+01  1.1142234306E+02  9.6352273965E+01  9.4641890307E+01  8.6604830849E+01
  2.1000000000E+01  3.1000000000E+01       4.7857852470E+03  1.2818437661E+00  6.8830028164E+00  9.1768202243E+00  7.2974245261E+01  1.0204555761E+02  8.9521562551E+01  8.9863264881E+01  8.2556618923E+01
  2.2000000000E+01  3.2000000000E+01       4.7835343400E+03  1.2571194630E+00  6.6758444462E+00  8.8061030416E+00  7.1405239905E+01  9.8698938976E+01  8.5440722547E+01  8.5939540604E+01  7.9815707730E+01
